id,title,artist,year,note,path,startAt,chorusAt
1,UFO,Pink Lady,2018,,https://www.youtube.com/watch?v=gfFy_xE0qOU,,
2,異邦人,MUSIC Liverary,2023,,https://www.youtube.com/watch?v=5raK_iAFrn8,,
3,風(Kaze) - 22才の別れ (Official Audio),PANAM,2023,,https://www.youtube.com/watch?v=5Cj4UlfzSVc,,
4,松山千春／旅立ち,よろしく哀愁,2019,,https://www.youtube.com/watch?v=sKLqkNDeFCk,,
5,いとしのエリー,Southern All Stars,2019,,https://www.youtube.com/watch?v=zRRbe8GgEeI,,
6,りばいばる,Miyuki Nakajima,2022,,https://www.youtube.com/watch?v=rXbgKTHMHAs,,
7,渡辺 真知子・迷い道,hitoshi satou,2015,,https://www.youtube.com/watch?v=XZlr800Q22Y,,
8,津軽海峡・冬景色,Sayuri Ishikawa,2025,,https://www.youtube.com/watch?v=BtICpHv7jIg,,
9,山口百恵 いい日旅立ち,masaisibasi,2018,,https://www.youtube.com/watch?v=dQ_4Jmqf2eU,,
10,キャンディーズ ｢春一番｣,キャンディーズ_CANDIES Offcial,2023,,https://www.youtube.com/watch?v=22jxko8Lm8w,,
11,ふれあい,Masatoshi Nakamura,2021,,https://www.youtube.com/watch?v=oWOaVLn-vB4,,
12,オリビアを聴きながら,ANRI,2018,,https://www.youtube.com/watch?v=OFBJvpx54pk,,
13,Mata Au Himade,Kiyohiko Ozaki,2018,,https://www.youtube.com/watch?v=dXEFeL3YzUI,,
14,アザミ嬢のララバイ,Miyuki Nakajima,2022,,https://www.youtube.com/watch?v=uGnyHf1cm-0,,
15,八代亜紀 / 舟唄,日本コロムビア 公式YouTubeチャンネル,2011,,https://www.youtube.com/watch?v=yGI0QZ4Gk34,,
16,およげ!たいやきくん,子門 真人,2018,,https://www.youtube.com/watch?v=1uP9nw4S3Qc,,
17,勝手にシンドバッド,Southern All Stars,2019,,https://www.youtube.com/watch?v=8q9YOe4BEDw,,
18,おもいで河,Miyuki Nakajima,2022,,https://www.youtube.com/watch?v=37LzqQLzmeo,,
19,Tasogare My Love,Junko Ohashi,2018,,https://www.youtube.com/watch?v=jSSXP7dju8w,,
20,季節の中で,Chiharu Matsuyama,2018,,https://www.youtube.com/watch?v=QHQvJd1cg-0,,
21,ビューティフル・ネーム,GODIEGO,2021,,https://www.youtube.com/watch?v=rg5KoT-SkWg,,
