id,title,artist,year,note,path,startAt,chorusAt
1,恋,星野源,2016,TBS系ドラマ『逃げるは恥だが役に立つ』OP,https://www.youtube.com/watch?v=jhOVibLEDhA,0.5,49.3
2,Lemon,米津玄師,2018,TBS系ドラマ『アンナチュラル』主題歌,https://www.youtube.com/watch?v=SX_ViT4Ra7k,2.0,60.2
3,Pretender,Official髭男dism,2019,ドラマ『コンフィデンスマンJP』主題歌,https://www.youtube.com/watch?v=TQ8WlA2GXbk,0,93.5
4,打上花火,DAOKO×米津玄師,2017,映画『打ち上げ花火、下から見るか? 横から見るか?』主題歌,https://www.youtube.com/watch?v=-tKVN2mAKRI,3.7,63.4
5,白日,King Gnu,2019,日本テレビ系ドラマ『イノセンス 冤罪弁護士』主題歌,https://www.youtube.com/watch?v=ony539T074w,1,69.8
6,ペンパイナッポーアッポーペン,ピコ太郎,2016,,https://www.youtube.com/watch?v=Ct6BUPvE2sM,5.8,30.1
7,マリーゴールド,あいみょん,2018,,https://www.youtube.com/watch?v=0xSiBpUdW4E,0,65.1
8,前前前世 (movie ver.),RADWIMPS,2016,映画『君の名は。』挿入歌,https://www.youtube.com/watch?v=PDSkFeMVNFs,0,69.2
9,U.S.A.,DA PUMP,2018,,https://www.youtube.com/watch?v=sr--GVIoluU,1.5,67.0
10,高嶺の花子さん,back number,2020,,https://www.youtube.com/watch?v=SII-S-zCg-c,0.7,85.2
11,クリスマスソング,back number,2015,フジテレビ系ドラマ『5→9〜私に恋したお坊さん〜』主題歌,https://www.youtube.com/watch?v=7zBeQezaz4U,0,75.0
12,さよならエレジー,菅田将暉,2018,日本テレビ系ドラマ『トドメの接吻』主題歌,https://www.youtube.com/watch?v=XSkpuDseenY,6.4,70.4
13,愛にできることはまだあるかい,RADWIMPS,2019,映画『天気の子』 主題歌,https://www.youtube.com/watch?v=EQ94zflNqn4,0,151.5
14,ノーダウト,Official髭男dism,2018,フジテレビ系ドラマ『コンフィデンスマンJP』主題歌,https://www.youtube.com/watch?v=EHw005ZqCXk,0,43.3
15,恋するフォーチュンクッキー,AKB48,2013,,https://music.youtube.com/watch?v=UP2eN81ngF0&si=pprcn6tfWxGnKKKA,0,79.4
16,サイレントマジョリティー,櫻坂46,2016,,https://www.youtube.com/watch?v=DeGkiItB9d8,1.1,69.9
17,ワタリドリ,[Alexandros],2015,映画『明烏』主題歌,https://www.youtube.com/watch?v=O_DLtVuiqhI,0.7,49.9
18,紅蓮華,LiSA,2019,『鬼滅の刃』OP,https://www.youtube.com/watch?v=CwkzK-F0Y00,0,60.1
19,Wherever you are,ONE OK ROCK,2010,,https://www.youtube.com/watch?v=qs4Q4cQxyU4,1.2,129.9
20,R.Y.U.S.E.I.,三代目 J Soul Brothers from EXILE TRIBE,2014,,https://www.youtube.com/watch?v=4-Gw0TAM6-Q,7.1,82.1
21,海の声,浦島太郎（桐谷健太）,2015,KDDI au『auガラホ「海の声」篇』CMソング,https://www.youtube.com/watch?v=-zQWavER7to,0,33.7
22,シンデレラガール,King & Prince,2018,,https://www.youtube.com/watch?v=Hx9iZZCrQeE,2.7,17.4
23,シュガーソングとビターステップ,UNISON SQUARE GARDEN,2015,『血界戦線』ED,https://www.youtube.com/watch?v=ERLEeGVWYxg,0,67.6
24,インフルエンサー,乃木坂46,2017,,https://www.youtube.com/watch?v=r4SdiT7mm7Y,4.0,73.7
25,ひまわりの約束,秦基博,2014,映画『STAND BY ME ドラえもん』主題歌,https://www.youtube.com/watch?v=rKsQ-3N-Bks,7,61.1
26,アイノカタチ,MISIA feat. HIDE (GReeeeN),2018,TBS系ドラマ『義母と娘のブルース』主題歌,https://www.youtube.com/watch?v=IX87le_EokM,0,53.9
27,私以外私じゃないの,ゲスの極み乙女,2015,コカ・コーラ「ネームボトルキャンペーン」CMソング,https://www.youtube.com/watch?v=Ae6gQmhaMn4,1.5,56.9
28,恋音と雨空,AAA,2013,,https://www.youtube.com/watch?v=A_1t2Dkd2Io,2.2,90.4
29,トリセツ,西野カナ,2015,映画『ヒロイン失格』主題歌,https://www.youtube.com/watch?v=iw_1zU2MSc8,11.5,111.9
30,明日も,SHISHAMO,2017,NTTドコモ『ドコモの学割』CMソング,https://www.youtube.com/watch?v=zhCtzmDWsN0,0,86.4
31,瞬き,back number,2017,,https://www.youtube.com/watch?v=h-KuoHHjGRs,2,89.8
32,長く短い祭,椎名林檎,2015,コカ・コーラ「2015年サマーキャンペーン」CMソング,https://www.youtube.com/watch?v=3LVAmMxICoA,7.0,69.7
33,あとひとつ,FUNKY MONKEY BABYS,2015,,https://www.youtube.com/watch?v=ir5cF-EvBig,2.6,99.7
34,STAY TUNE,Suchmos,2016,,https://www.youtube.com/watch?v=PLgYflfgq0M,0.4,104.9
35,忘れられないの,サカナクション,2019,,https://www.youtube.com/watch?v=BxqYUbNR-c0,10.9,101.6
36,Follow Me,E-Girls,2012,サマンサタバサ「サマンサミューズALL STARS」CMソング,https://www.youtube.com/watch?v=FkXdPTA5URk,7.4,53.3
37,Dragon Night,SEKAI NO OWARI,2015,,https://www.youtube.com/watch?v=gsVGf1T2Hfs,0,38.6
38,ヒカリヘ,miwa,2020,フジテレビ系ドラマ『リッチマン、プアウーマン』主題歌,https://www.youtube.com/watch?v=aRyjZa89g4o,4.3,63.4
39,ノンフィクション,平井 堅,2017,TBS系ドラマ『小さな巨人』主題歌,https://www.youtube.com/watch?v=ihMPLCNykZI,1.4,126.1
40,ポニーテールとシュシュ,AKB48,2010,,https://www.youtube.com/watch?v=SwXtaahxjls,125.1,191.3
41,紅蓮の弓矢,Linked Horizon,2013,『進撃の巨人』OP,https://www.youtube.com/watch?v=2B6nj38AdD0,2.2,67.9
42,ray,BUMP OF CHICKEN feat. HATSUNE MIKU,2014,,https://www.youtube.com/watch?v=yT_ylSCgY6Q,2.6,68.8
43,花束を君に,宇多田ヒカル,2016,NHK連続テレビ小説『とと姉ちゃん』主題歌,https://www.youtube.com/watch?v=yCZFof7Y0tQ,10.1,105.3
44,Beautiful,Superfly,2015,,https://www.youtube.com/watch?v=tfeSwQ-iU0U,1.0,75.3
45,にじいろ,絢香,2014,NHK連続テレビ小説『花子とアン』主題歌,https://www.youtube.com/watch?v=ia0lAgfhbAo,0,66.2
46,女々しくて,ゴールデンボンバー,2009,,https://www.youtube.com/watch?v=BC9P3DSZu0A,26.9,71.1
47,行くぜっ！怪盗少女,ももいろクローバーZ,2010,,https://www.youtube.com/watch?v=u7z9M0vFPbI,2.0,53.8
48,CQCQ,神様、僕は気づいてしまった,2017,TBS系ドラマ『あなたのことはそれほど』主題歌,https://www.youtube.com/watch?v=Ayqq7qSOxV8,1.3,64
49,if,西野カナ,2010,映画『NARUTO -ナルト- 疾風伝 ザ・ロストタワー』主題歌,https://www.youtube.com/watch?v=MAn9ni-drZw,0.7,71.4
50,優しいあの子,スピッツ,2019,NHK連続テレビ小説『なつぞら』主題歌,https://www.youtube.com/watch?v=RkIOd78C82I,,49.6
51,未来,コブクロ,2015,映画『orange』主題歌,https://www.youtube.com/watch?v=e4rg15tsWHs,4.1,105.8
52,EXCITE,三浦大知,2016,『仮面ライダーエグゼイド』主題歌,https://www.youtube.com/watch?v=E13jVMczRJg,1.4,42.8
53,家族になろうよ,福山雅治,2011,「ゼクシィ」CMソング,https://www.youtube.com/watch?v=vrkbf9CVkn4,9.1,99.8
