id,title,artist,year,note,path,startAt,chorusAt
44,Driver's High,L’Arc〜en〜Ciel,1999,『GTO』OP,https://www.youtube.com/watch?v=bzuuxp7dsxQ,11,110.8
45,僕の戦争,神聖かまってちゃん,2022,『進撃の巨人 The Final Season』,https://www.youtube.com/watch?v=goXKlOozyx8,0,60.5
46,麻痺,yama,2021,『2.43 清陰高校男子バレー部』OP,https://www.youtube.com/watch?v=2By3feOVw20,0,60.7
47,VIVID VICE,Who-ya Extended,2021,『呪術廻戦』OP,https://www.youtube.com/watch?v=EU6I8TxU6Z4,14.3,66.1
48,メリッサ,ポルノグラフィティ,2003,『鋼の錬金術師』OP,https://www.youtube.com/watch?v=DXo_xX_Hqro,8.4,91.7
49,夢をかなえてドラえもん,Mao,2007,『ドラえもん』主題歌,https://www.youtube.com/watch?v=T9R-NPhRi1M,0,55.1
50,名前のない怪物,EGOIST,2012,『PSYCHO-PASS サイコパス』ED,https://www.youtube.com/watch?v=qiX5DI--8bg,37.8,108.5
51,曇天,DOES,2008,『銀魂』OP,https://www.youtube.com/watch?v=n5TG3Fxzft0,7.5,71.9
52,轍～Wadachi～,SPYAIR,2021,映画『銀魂 THE FINAL』主題歌,https://www.youtube.com/watch?v=03BzZld9lvE,1.4,48.8
53,リライト,ASIAN KUNG-FU GENERATION,2004,『鋼の錬金術師』OP,https://www.youtube.com/watch?v=cr8magEp0Ho,0,74.9
54,創聖のアクエリオン,AKINO from bless4,2005,『創聖のアクエリオン』主題歌,https://www.youtube.com/watch?v=W6DOkcLlIgE,1.8,64.2
55,タッチ,岩崎良美,1985,『タッチ』OP,https://www.youtube.com/watch?v=WW6OgFqTNfg,0,50.2
56,sailing day,BUMP OF CHICKEN,2010,映画『ONE PIECE THE MOVIE デッドエンドの冒険』主題歌,https://www.youtube.com/watch?v=F9L7QAL5m5g,19.1,68.4
57,恋しさと せつなさと 心強さと,篠原涼子 with t.komuro,1994,『ストリートファイターII MOVIE』タイアップ,https://www.youtube.com/watch?v=QGYfX8z4goE,0,186.8
58,星間飛行,ランカ・リー＝中島愛,2008,,https://www.youtube.com/watch?v=weWIUylAq0s,0,62.3
59,Gamble Rumble,move,2001,映画『頭文字D Third Stage』OP,https://www.youtube.com/watch?v=KhTxlm4REQc,9.5,74.9
60,オリオンをなぞる,UNISON SQUARE GARDEN,2011,『TIGER & BUNNY』OP,https://www.youtube.com/watch?v=Lw5o2pSrVbQ,1.9,55.3
61,紅蓮の弓矢,Linked Horizon,2013,『進撃の巨人』OP,https://www.youtube.com/watch?v=2B6nj38AdD0,2.2,67.9
62,ふわふわ時間,桜高軽音部,2009,『けいおん!』劇中歌,https://www.youtube.com/watch?v=I0xRbWqIohQ,0,43.0
63,限界突破×サバイバー,氷川きよし,2017,『ドラゴンボール超』OP,https://www.youtube.com/watch?v=ZW7gqSBQ4VI,0,62.1
64,INVOKE -インヴォーク-,T.M.Revolution,2002,『機動戦士ガンダムSEED』OP,https://www.youtube.com/watch?v=XiA3OcZLpok,1.9,51.9
65,CHANGE THE WORLD,V6,2000,『犬夜叉』OP,https://www.youtube.com/watch?v=Hok551J0Cbc,8.0,99.7
66,射手座☆午後九時Don't be late,シェリル・ノーム starring May'n,2008,『マクロスF』挿入歌,https://www.youtube.com/watch?v=5sKSCRuKLHo,0,61.3
67,ホログラム,NICO Touches the Walls,2009,『鋼の錬金術師 FULLMETAL ALCHEMIST』OP,https://www.youtube.com/watch?v=TbResk1x4kY,9,70.9
68,遥か彼方,ASIAN KUNG-FU GENERATION,2003,『NARUTO-ナルト-』OP,https://www.youtube.com/watch?v=XggsuWPjLhc,3.7,80.4
69,あんなに一緒だったのに,See-Saw,2002,『機動戦士ガンダムSEED』主題歌,https://www.youtube.com/watch?v=aufDdA7aoc4,0,68.5
70,檄!帝国華撃団,真宮寺さくら（横山智佐）& 帝国歌劇団,1996,セガ『サクラ大戦』主題歌,https://www.youtube.com/watch?v=D9BYN96KxHc,0,48.2
71,Catch the Moment,LiSA,2017,映画『劇場版 ソードアート・オンライン -オーディナル・スケール-』主題歌,https://www.youtube.com/watch?v=K1PltwBuDKM,0.7,57.2
72,God knows...,涼宮ハルヒ（平野綾）,2006,『涼宮ハルヒの憂鬱』挿入歌,https://www.youtube.com/watch?v=4MAe7X7wv6Y,0,64.9
73,ゆずれない願い,田村直美,1994,『魔法騎士レイアース』OP,https://www.youtube.com/watch?v=W8ONcV-AaVU,0,61.9
