id,title,artist,year,note,path,startAt,chorusAt
1,Wait & See ～リスク～,宇多田ヒカル,2000,,https://www.youtube.com/watch?v=zIEf-xJ8VE4,7.1,76.2
2,Love so sweet,嵐,2007,TBS系ドラマ『花より男子2』主題歌,https://www.youtube.com/watch?v=EAgACSowE5k,1.7,76.0
3,愛をこめて花束を,Superfly,2008,TBS系ドラマ『エジソンの母』主題歌,https://www.youtube.com/watch?v=gU5oN0KVofU,2.6,87.8
4,奏（かなで）,スキマスイッチ,2004,映画『ラフ ROUGH』挿入歌,https://www.youtube.com/watch?v=J5Z7tIq7bco,11.9,81
5,One Love,嵐,2008,映画『花より男子F』主題歌,https://www.youtube.com/watch?v=XswwGN-eIs0,0,70
6,栄光の架橋,ゆず,2004,NHK『アテネオリンピック中継』公式テーマソング,https://www.youtube.com/watch?v=PRJoAPH0ZGo,0,92.2
7,銀の龍の背に乗って,中島みゆき,2003,フジテレビ系ドラマ『Dr.コトー診療所』主題歌,https://www.youtube.com/watch?v=AoToyjajWq0,0,94
8,secret base ～君がくれたもの～,ZONE,2001,TBS系列ドラマ『キッズ・ウォー3 〜ざけんなよ〜』主題歌,https://www.youtube.com/watch?v=fRQtDjiRtI8,0,95.2
9,蕾,コブクロ,2007,フジテレビ系ドラマ『東京タワー 〜オカンとボクと、時々、オトン〜』主題歌,https://www.youtube.com/watch?v=WPH1BLHKOJE,10.5,109.3
10,天体観測,BUMP OF CHICKEN,2001,,https://www.youtube.com/watch?v=j7CDb610Bg0,3.7,68.5
11,HANABI,Mr.Children,2008,,https://www.youtube.com/watch?v=EXxaBXKjl6Q,7.3,105.1
12,サウダージ,ポルノグラフィティ,2000,,https://www.youtube.com/watch?v=lzsB4eKPdJI,6.5,81.4
13,桜,コブクロ,2005,,https://www.youtube.com/watch?v=Dsdxxrnz1AQ,7.8,102.9
14,手紙 〜拝啓 十五の君へ〜,アンジェラ・アキ,2008,NHK『みんなのうた』2008年8月 - 9月度使用曲,https://www.youtube.com/watch?v=erGCAu_hFqM,1.5,62.2
15,しるし,Mr.Children,2006,日本テレビ系ドラマ『14才の母』主題歌,https://www.youtube.com/watch?v=xXA5StMti8c,0.8,88.5
16,地上の星,中島みゆき,2000,NHK『プロジェクトX〜挑戦者たち〜』OP,https://www.youtube.com/watch?v=v2SlpjCz7uE,15.3,79.3
17,truth,嵐,2008,TBS系ドラマ『魔王』主題歌,https://www.youtube.com/watch?v=8etBhO7i7bM,0,69.8
18,雪の華,中島美嘉,2003,明治製菓「boda」「galbo」CMソング,https://www.youtube.com/watch?v=mF5Qq2YheTg,0,89.6
19,キセキ,GReeeeN,2008,TBS系ドラマ『ROOKIES』主題歌,https://www.youtube.com/watch?v=DwTinTO0o9I,58.9,123
20,さくら,ケツメイシ,2005,,https://www.youtube.com/watch?v=yegBF2yoTDo,64.8,208.3
21,POP STAR,平井 堅 YouTube,2005,フジテレビ系ドラマ『危険なアネキ』主題歌,https://www.youtube.com/watch?v=WzfteHcskYo,9,82.2
22,ココロオドル,nobodyknows+,2004,『SDガンダムフォース』OP,https://www.youtube.com/watch?v=8pQuRe_2gBs,7.7,68.5
23,𝓜,浜崎あゆみ,2000,,https://www.youtube.com/watch?v=03y-KyezDS4,0,143.2
24,TSUNAMI,サザンオールスターズ,2000,,https://www.youtube.com/watch?v=uOv48wstbgY,0,64.8
25,Lovers Again,EXILE,2007,au「LISMO」CMソング,https://www.youtube.com/watch?v=PUdrCJSly_A,1.8,54
26,花,ORANGE RANGE,2004,映画『いま、会いにゆきます』主題歌,https://www.youtube.com/watch?v=iYkg90hDInc,0.6,78.2
27,Everything,MISIA,2008,フジテレビ系ドラマ『やまとなでしこ』主題歌,https://www.youtube.com/watch?v=aHIR33pOUv0,7.5,130.8
28,三日月,絢香,2006,,https://www.youtube.com/watch?v=wHw6W4BznTM,12.2,73.4
29,瞳をとじて,平井 堅,2004,映画『世界の中心で、愛をさけぶ』主題歌,https://www.youtube.com/watch?v=EqVoCfSwfUY,21.1,117.5
30,世界はそれを愛と呼ぶんだぜ,サンボマスター,2005,フジテレビ系ドラマ『電車男』ED,https://www.youtube.com/watch?v=izlKehxIEcA,28.4,102.4
31,Jupiter,平原綾香,2003,,https://www.youtube.com/watch?v=aGWzRUdn0so,2.6,49.0
32,赤い糸,コブクロ,2000,,https://www.youtube.com/watch?v=ZSZKb1diGqk,29.3,172.2
33,純恋歌,湘南乃風,2006,,https://www.youtube.com/watch?v=YQSS7SgGia8,0,103.1
34,Sign,Mr.Children,2004,,https://www.youtube.com/watch?v=4wuWJ7GAc2s,0,71.1
35,ヘッドライト・テールライト,中島みゆき,2000,NHK『プロジェクトX〜挑戦者たち〜』ED,https://www.youtube.com/watch?v=mBYmBjLcn_4,0,47.8
36,プラネタリウム,大塚 愛,2005,,https://www.youtube.com/watch?v=t6xdg6TKbyQ,0.8,83.8
37,大切なもの,ロードオブメジャー,2003,,https://www.youtube.com/watch?v=o3whOgZwjkI,11.4,88.0
38,そばにいるね,青山テルマ feat.SoulJa,2008,,https://www.youtube.com/watch?v=M80XXxMKFWw,5.5,113.4
39,traveling,宇多田ヒカル,2001,NTTドコモ「FOMA」CMソング,https://www.youtube.com/watch?v=tuyZ9f6mHZk,10.5,93.0
40,虹,Aqua Timez,2008,日本テレビ系ドラマ『ごくせん 第3シリーズ』主題歌,https://www.youtube.com/watch?v=KVs_U-FA0rc,9.8,72.1
41,Darling,V6,2003,TBS系ドラマ『きみはペット』主題歌,https://www.youtube.com/watch?v=mgVV2TeWZo4,9.3,87.8
42,ギブス,椎名林檎,2000,,https://www.youtube.com/watch?v=zldBTSx9JpE,13,89.6
43,me me she,RADWIMPS,2006,「メ・メ・シィ」,https://www.youtube.com/watch?v=wvvItrHEfRA,45.1,103.6
44,春の歌,スピッツ,2005,コカ・コーラ「アクエリアス」CMソング,https://www.youtube.com/watch?v=94uxNQqmknk,1.9,68.2
45,Can You Keep A Secret?,宇多田ヒカル,2001,フジテレビ系ドラマ『HERO』主題歌,https://www.youtube.com/watch?v=SRQbQ_nd4fc,0,66.7
46,Aitai,加藤ミリヤ,2009,,https://www.youtube.com/watch?v=tKOk5YPlP7g,16,78.3
47,PIECES OF A DREAM,CHEMISTRY,2001,,https://www.youtube.com/watch?v=NxDu0M_8jd0,5.5,81.2
48,READY STEADY GO,L’Arc〜en〜Ciel,2004,『鋼の錬金術師』OP,https://www.youtube.com/watch?v=NZdjDUjzUiQ,6.8,65.6
49,波乗りジョニー,桑田佳祐,2001,,https://www.youtube.com/watch?v=K0-Dm4wMJpQ,102.1,157.4
50,evolution,浜崎あゆみ,2001,コーセー「ヴィセ」CMソング,https://www.youtube.com/watch?v=ZSOl7Jf45As,0,99.7
