id,title,artist,year,note,path,startAt,chorusAt
1,心を開いて,ZARD,1996,,https://www.youtube.com/watch?v=HUTbH6ywrXk,0.9,46.6
2,ロビンソン,スピッツ,1995,,https://www.youtube.com/watch?v=51CH3dPaWXc,7.1,93.8
3,負けないで,ZARD,1993,,https://www.youtube.com/watch?v=_4DJkOUU648,0,54.6
4,LA･LA･LA LOVE SONG with NAOMI CAMPBELL,久保田利伸,1996,,https://www.youtube.com/watch?v=YZ6wH-MqZvM,0,73.4
5,"Hello, Again 〜昔からある場所〜",My Little Lover,1995,日本テレビ系ドラマ『終らない夏』主題歌,https://www.youtube.com/watch?v=RkF5_BpBQU4,5.6,84.9
6,空と君のあいだに,中島みゆき,1994,日本テレビ系ドラマ『家なき子』主題歌,https://www.youtube.com/watch?v=dxtE6iynsAY,0,90.8
7,もう恋なんてしない,槇原敬之,1992,,https://www.youtube.com/watch?v=naz0-szzYXk,4.3,87.8
8,チェリー,スピッツ,1996,,https://www.youtube.com/watch?v=Eze6-eHmtJg,0,62.7
9,君がいるだけで,米米CLUB,1992,,https://www.youtube.com/watch?v=5Q8vU0GWGzM,6.5,88.8
10,Time goes by,Every Little Thinｇ,1998,,https://www.youtube.com/watch?v=PwhKGjv4Yjc,0,103.2
11,家に帰ろう (マイ・スイート・ホーム),竹内まりや,1992,「うちにかえろう」,https://www.youtube.com/watch?v=ACYNHhiQkwI,6.7,61.8
12,ロマンスの神様,広瀬香美,1993,,https://www.youtube.com/watch?v=T8yZWCg85Cs,1.8,74.5
13,Tomorrow never knows,Mr.Children,1994,フジテレビ系ドラマ『若者のすべて』主題歌,https://www.youtube.com/watch?v=Nxwt_s1lM04,0.3,82.6
14,A･RA･SHI,嵐,1999,,https://www.youtube.com/watch?v=evCrxxtslVU,1.0,29
15,空も飛べるはず,スピッツ,1994,,https://www.youtube.com/watch?v=h-kQw4JqCHE,8.1,74.8
16,揺れる想い,ZARD,1993,,https://www.youtube.com/watch?v=jaFE9YH3Zmk,0,79.5
17,糸,中島みゆき,1998,TBS系ドラマ『聖者の行進』主題歌,https://www.youtube.com/watch?v=78UwqbJnI18,0,80.0
18,硝子の少年,KinKi Kids,1997,,https://www.youtube.com/watch?v=TYhWV4H83sU,7.5,85.2
19,どんなときも。,槇原敬之,1991,,https://www.youtube.com/watch?v=b88pxLpMZKk,0,82.1
